"ANO";"AUTO";"BICICLETA";"BOLETIM";"CAMINHAO";"CARROCA";"CONSORCIO";"CONT_ACID";"CONT_VIT";"CORREDOR";"DIA";"DIA_SEM";"FATAIS";"FERIDOS";"FERIDOS_GR";"FONTE";"FX_HORA";"ID";"LATITUDE";"LOCAL";"LOCAL_VIA";"LOG1";"LOG2";"LONGITUDE";"LOTACAO";"MES";"MORTE_POST";"MORTES";"MOTO";"NOITE_DIA";"ONIBUS_INT";"ONIBUS_MET";"ONIBUS_URB";"OUTRO";"PREDIAL1";"QUEDA_ARR";"REGIAO";"TAXI";"TEMPO";"TIPO_ACID";"UPS"
2013;1;0;"39813";0;0;"";1;1;0;14;"SEGUNDA-FEIRA";0;"1";0;"DEPTRAN";16;"559495";-30 025564;"Cruzamento";"R COMENDADOR MANOEL PEREIRA & R DA CONCEICAO";"R COMENDADOR MANOEL PEREIRA";"R DA CONCEICAO";-51 219746;"0";1;0;0;1;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"COLISAO";5
2013;2;0;"43713";0;0;"";1;0;0;15;"TERCA-FEIRA";0;"0";0;"DEPTRAN";5;"559572";-30 032588;"Logradouro";"354 R JERONIMO COELHO";"R JERONIMO COELHO";"";-51 225864;"0";1;0;0;0;"NOITE";"0";0;"0";0;354;0;"CENTRO";"0";"BOM";"CHOQUE";1
2013;0;0;"235237";0;0;"";1;0;0;15;"TERCA-FEIRA";0;"0";0;"EPTC";7;"559675";-30 023882;"Logradouro";"70 LG VESPASIANO JULIO VEPPO";"LG VESPASIANO JULIO VEPPO";"";-51 219027;"0";1;0;0;0;"DIA";"0";0;"0";0;70;0;"CENTRO";"2";"BOM";"COLISAO";1
2013;1;0;"235236";0;0;"STS";1;0;0;15;"TERCA-FEIRA";0;"0";0;"EPTC";9;"559676";-30 025096;"Cruzamento";"LG EDGAR KOETZ & R DA CONCEICAO";"LG EDGAR KOETZ";"R DA CONCEICAO";-51 218967;"0";1;0;0;0;"DIA";"0";0;"1";0;0;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;2;0;"239449";0;0;"";1;0;0;15;"TERCA-FEIRA";0;"0";0;"EPTC";10;"559678";-30 027292;"Logradouro";"345 R PINTO BANDEIRA";"R PINTO BANDEIRA";"";-51 222431;"0";1;0;0;0;"DIA";"0";0;"0";0;345;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;2;0;"249557";0;0;"";1;0;0;15;"TERCA-FEIRA";0;"0";0;"EPTC";12;"559687";-30 023052;"Logradouro";"2075 AV MAUA";"AV MAUA";"";-51 220753;"0";1;0;0;0;"DIA";"0";0;"0";0;2075;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;2;0;"41613";0;0;"";1;0;0;15;"TERCA-FEIRA";0;"0";0;"DEPTRAN";12;"559529";-30 037739;"Logradouro";"29 TRAV COMENDADOR BATISTA";"TRAV COMENDADOR BATISTA";"";-51 223592;"0";1;0;0;0;"DIA";"0";0;"0";0;29;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;2;0;"249653";0;0;"";1;0;0;15;"TERCA-FEIRA";0;"0";0;"EPTC";12;"559684";-30 024412;"Cruzamento";"AV JULIO DE CASTILHOS & R CEL VICENTE";"AV JULIO DE CASTILHOS";"R CEL VICENTE";-51 221612;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;1;0;"41513";0;0;"";1;1;0;15;"TERCA-FEIRA";0;"2";0;"DEPTRAN";12;"559526";-30 029531;"Logradouro";"90 AV INDEPENDENCIA";"AV INDEPENDENCIA";"";-51 220643;"0";1;0;0;0;"DIA";"0";0;"0";0;90;0;"CENTRO";"0";"BOM";"ATROPELAMENTO";5
2013;1;0;"249625";1;0;"";1;0;0;15;"TERCA-FEIRA";0;"0";0;"EPTC";15;"559680";-30 032318;"Cruzamento";"R SARMENTO LEITE & AV OSVALDO ARANHA";"R SARMENTO LEITE";"AV OSVALDO ARANHA";-51 220446;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;0;0;"251727";1;0;"";1;0;0;15;"TERCA-FEIRA";0;"0";0;"EPTC";17;"582842";-30 027369;"Logradouro";"1237 AV MAUA";"AV MAUA";"";-51 230804;"1";1;0;0;0;"DIA";"0";0;"0";0;1237;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;1;0;"43113";0;0;"";1;0;0;15;"TERCA-FEIRA";0;"0";0;"DEPTRAN";18;"559560";-30 031015;"Cruzamento";"AV SENADOR SALGADO FILHO & R DR FLORES";"AV SENADOR SALGADO FILHO";"R DR FLORES";-51 224739;"0";1;0;0;0;"NOITE";"0";0;"0";0;0;0;"CENTRO";"1";"BOM";"COLISAO";1
2013;1;0;"43213";0;0;"";1;1;0;15;"TERCA-FEIRA";0;"1";0;"DEPTRAN";19;"559562";-30 027532;"Logradouro";"1596 AV PRESIDENTE VARGAS";"AV PRESIDENTE VARGAS";"";-51 253112;"0";1;0;0;1;"NOITE";"0";0;"0";0;1596;0;"NORTE";"0";"BOM";"ABALROAMENTO";5
2013;1;0;"43513";0;0;"";1;0;0;15;"TERCA-FEIRA";0;"0";0;"DEPTRAN";21;"559569";-30 036797;"Cruzamento";"R GEN LIMA E SILVA & R SARMENTO LEITE";"R GEN LIMA E SILVA";"R SARMENTO LEITE";-51 22341;"0";1;0;0;0;"NOITE";"0";0;"0";0;0;0;"CENTRO";"1";"BOM";"CHOQUE";1
2013;2;0;"244185";0;0;"";1;0;0;16;"QUARTA-FEIRA";0;"0";0;"EPTC";8;"559751";-30 035215;"Logradouro";"551 AV PRESIDENTE JOAO GOULART";"AV PRESIDENTE JOAO GOULART";"";-51 240875;"0";1;0;0;0;"DIA";"0";0;"0";0;551;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;1;0;"250221";0;0;"";1;0;0;16;"QUARTA-FEIRA";0;"0";0;"EPTC";10;"559754";-30 036108;"Logradouro";"1020 R DEMETRIO RIBEIRO";"R DEMETRIO RIBEIRO";"";-51 229013;"0";1;0;0;0;"DIA";"0";0;"0";0;1020;0;"CENTRO";"1";"BOM";"ABALROAMENTO";1
2013;0;1;"46313";0;0;"";1;1;0;16;"QUARTA-FEIRA";0;"1";0;"DEPTRAN";11;"559669";-30 028342;"Logradouro";"152 R DR FLORES";"R DR FLORES";"";-51 224518;"0";1;0;0;0;"DIA";"0";0;"0";0;152;0;"CENTRO";"1";"BOM";"COLISAO";5
2013;0;0;"46813";0;0;"";1;1;0;16;"QUARTA-FEIRA";0;"1";0;"DEPTRAN";13;"559674";-30 029525;"Logradouro";"102 AV INDEPENDENCIA";"AV INDEPENDENCIA";"";-51 220507;"0";1;0;0;0;"DIA";"0";0;"0";0;102;0;"CENTRO";"1";"BOM";"ATROPELAMENTO";5
2013;3;0;"249558";0;0;"";1;0;0;17;"QUINTA-FEIRA";0;"0";0;"EPTC";7;"559860";-30 034878;"Logradouro";"326 AV JOAO PESSOA";"AV JOAO PESSOA";"";-51 221113;"0";1;0;0;0;"DIA";"0";0;"0";0;326;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;2;0;"236200";0;0;"";1;0;0;17;"QUINTA-FEIRA";0;"0";0;"EPTC";8;"559850";-30 034991;"Logradouro";"2001 AV LOUREIRO DA SILVA";"AV LOUREIRO DA SILVA";"";-51 221845;"0";1;0;0;0;"DIA";"0";0;"0";0;2001;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;1;0;"249747";0;0;"";1;0;0;17;"QUINTA-FEIRA";0;"0";0;"EPTC";9;"559862";-30 025203;"Cruzamento";"AV JULIO DE CASTILHOS & R CHAVES BARCELOS";"AV JULIO DE CASTILHOS";"R CHAVES BARCELOS";-51 22324;"0";1;0;0;0;"DIA";"0";1;"0";0;0;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;1;0;"236298";0;0;"";1;0;0;17;"QUINTA-FEIRA";0;"0";0;"EPTC";13;"559852";-30 038154;"Logradouro";"55 R LUIZ AFONSO";"R LUIZ AFONSO";"";-51 219655;"0";1;0;0;1;"DIA";"0";0;"0";0;55;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;3;0;"235350";0;0;"";1;0;0;17;"QUINTA-FEIRA";0;"0";0;"EPTC";18;"559853";-30 025106;"Logradouro";"1711 AV MAUA";"AV MAUA";"";-51 224826;"0";1;0;0;0;"NOITE";"0";0;"0";0;1711;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;2;0;"235304";0;0;"";1;0;0;18;"SEXTA-FEIRA";0;"0";0;"EPTC";7;"559938";-30 028492;"Cruzamento";"PCA MONTEVIDEO & AV BORGES DE MEDEIROS";"PCA MONTEVIDEO";"AV BORGES DE MEDEIROS";-51 22807;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"COLISAO";1
